profile,criterion,weight,top_architecture,top_score
TACTICAL_USER_LEANING,mission_thread_success,0.19999999999999998,RoiFirst,0.7305707741687515
TACTICAL_USER_LEANING,mission_thread_success,0.3,RoiFirst,0.7642494273976578
TACTICAL_USER_LEANING,mission_thread_success,0.35,RoiFirst,0.7810887540121106
TACTICAL_USER_LEANING,mission_thread_success,0.39999999999999997,RoiFirst,0.7979280806265637
TACTICAL_USER_LEANING,mission_thread_success,0.5,RoiFirst,0.8316067338554698
TACTICAL_USER_LEANING,mission_thread_success,0.6499999999999999,RoiFirst,0.8821247136988288
TACTICAL_USER_LEANING,latency,0.1,RoiFirst,0.7424355016048442
TACTICAL_USER_LEANING,latency,0.2,RoiFirst,0.7682043365430219
TACTICAL_USER_LEANING,latency,0.25,RoiFirst,0.7810887540121106
TACTICAL_USER_LEANING,latency,0.3,RoiFirst,0.7939731714811995
TACTICAL_USER_LEANING,latency,0.4,RoiFirst,0.8197420064193771
TACTICAL_USER_LEANING,latency,0.55,RoiFirst,0.8583952588266434
TACTICAL_USER_LEANING,fidelity,0.0,RoiFirst,0.9189279458966008
TACTICAL_USER_LEANING,fidelity,0.09999999999999999,RoiFirst,0.8270351513069408
TACTICAL_USER_LEANING,fidelity,0.15,RoiFirst,0.7810887540121106
TACTICAL_USER_LEANING,fidelity,0.2,RoiFirst,0.7351423567172807
TACTICAL_USER_LEANING,fidelity,0.3,RoiFirst,0.6432495621276205
TACTICAL_USER_LEANING,fidelity,0.44999999999999996,GroundOnly,0.5147058823529411
TACTICAL_USER_LEANING,space_segment_processing_burden,0.0,RoiFirst,0.8221986884338007
TACTICAL_USER_LEANING,space_segment_processing_burden,0.0,RoiFirst,0.8221986884338007
TACTICAL_USER_LEANING,space_segment_processing_burden,0.05,RoiFirst,0.7810887540121106
TACTICAL_USER_LEANING,space_segment_processing_burden,0.1,RoiFirst,0.7399788195904207
TACTICAL_USER_LEANING,space_segment_processing_burden,0.2,RoiFirst,0.6577589507470406
TACTICAL_USER_LEANING,space_segment_processing_burden,0.35,RoiFirst,0.5344291474819705
TACTICAL_USER_LEANING,terminal_processing_burden,0.0,RoiFirst,0.7695671094864323
TACTICAL_USER_LEANING,terminal_processing_burden,0.0,RoiFirst,0.7695671094864323
TACTICAL_USER_LEANING,terminal_processing_burden,0.05,RoiFirst,0.7810887540121106
TACTICAL_USER_LEANING,terminal_processing_burden,0.1,RoiFirst,0.792610398537789
TACTICAL_USER_LEANING,terminal_processing_burden,0.2,RoiFirst,0.8156536875891459
TACTICAL_USER_LEANING,terminal_processing_burden,0.35,RoiFirst,0.850218621166181
TACTICAL_USER_LEANING,resilience,0.0,RoiFirst,0.7567652822356784
TACTICAL_USER_LEANING,resilience,0.05,RoiFirst,0.7689270181238947
TACTICAL_USER_LEANING,resilience,0.1,RoiFirst,0.7810887540121106
TACTICAL_USER_LEANING,resilience,0.15000000000000002,RoiFirst,0.7932504899003268
TACTICAL_USER_LEANING,resilience,0.25,RoiFirst,0.8175739616767589
TACTICAL_USER_LEANING,resilience,0.4,RoiFirst,0.854059169341407
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.0,ThreadAwarePriority,0.7894736842105263
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.0,ThreadAwarePriority,0.7894736842105263
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.05,RoiFirst,0.7810887540121106
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.1,RoiFirst,0.779452503800947
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.2,RoiFirst,0.7761800033786196
TACTICAL_USER_LEANING,acquisition_lock_in_risk,0.35,RoiFirst,0.7712712527451283
ACQUISITION_LEANING,mission_thread_success,0.0,RoiFirst,0.688159413652758
ACQUISITION_LEANING,mission_thread_success,0.09999999999999999,RoiFirst,0.7193434722874822
ACQUISITION_LEANING,mission_thread_success,0.15,RoiFirst,0.7349355016048442
ACQUISITION_LEANING,mission_thread_success,0.2,RoiFirst,0.7505275309222064
ACQUISITION_LEANING,mission_thread_success,0.3,RoiFirst,0.7817115895569305
ACQUISITION_LEANING,mission_thread_success,0.44999999999999996,RoiFirst,0.8284876775090169
ACQUISITION_LEANING,latency,0.0,RoiFirst,0.7083333333333335
ACQUISITION_LEANING,latency,0.05,RoiFirst,0.7216344174690887
ACQUISITION_LEANING,latency,0.1,RoiFirst,0.7349355016048442
ACQUISITION_LEANING,latency,0.15000000000000002,RoiFirst,0.7482365857405998
ACQUISITION_LEANING,latency,0.25,RoiFirst,0.7748387540121107
ACQUISITION_LEANING,latency,0.4,RoiFirst,0.8147420064193771
ACQUISITION_LEANING,fidelity,0.0,RoiFirst,0.8165950017831605
ACQUISITION_LEANING,fidelity,0.05,RoiFirst,0.7757652516940022
ACQUISITION_LEANING,fidelity,0.1,RoiFirst,0.7349355016048442
ACQUISITION_LEANING,fidelity,0.15000000000000002,RoiFirst,0.6941057515156863
ACQUISITION_LEANING,fidelity,0.25,RoiFirst,0.6124462513373703
ACQUISITION_LEANING,fidelity,0.4,GroundOnly,0.6833333333333333
ACQUISITION_LEANING,space_segment_processing_burden,0.0,RoiFirst,0.7945248665998317
ACQUISITION_LEANING,space_segment_processing_burden,0.024999999999999994,RoiFirst,0.7746617449348359
ACQUISITION_LEANING,space_segment_processing_burden,0.075,RoiFirst,0.7349355016048442
